Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2024-01-01 00:00:00,France,France,FR,34.75,52.60,92.06,26.51,opendata.reseaux-energies.fr; entsoe.eu
2024-02-01 00:00:00,France,France,FR,27.05,43.53,93.98,29.27,opendata.reseaux-energies.fr; entsoe.eu
2024-03-01 00:00:00,France,France,FR,24.63,41.60,94.30,30.98,opendata.reseaux-energies.fr; Electricity Maps Estimation; entsoe.eu
2024-04-01 00:00:00,France,France,FR,10.65,24.15,97.85,33.28,opendata.reseaux-energies.fr; entsoe.eu
2024-05-01 00:00:00,France,France,FR,7.09,19.05,98.69,31.88,opendata.reseaux-energies.fr; entsoe.eu
2024-06-01 00:00:00,France,France,FR,7.41,19.64,98.57,31.04,entsoe.eu
2024-07-01 00:00:00,France,France,FR,8.91,22.11,98.19,28.96,opendata.reseaux-energies.fr; entsoe.eu
2024-08-01 00:00:00,France,France,FR,9.24,23.24,98.05,26.52,opendata.reseaux-energies.fr
2024-09-01 00:00:00,France,France,FR,11.52,25.36,97.73,27.87,opendata.reseaux-energies.fr
2024-10-01 00:00:00,France,France,FR,9.74,22.78,98.06,28.36,opendata.reseaux-energies.fr; Electricity Maps Estimation
2024-11-01 00:00:00,France,France,FR,28.35,45.60,93.61,23.57,opendata.reseaux-energies.fr
2024-12-01 00:00:00,France,France,FR,25.06,41.19,94.38,25.69,opendata.reseaux-energies.fr
