ExportIndex,Index,Emission (gCO2)
0,1d,0.0112914
0,2d,0.00102639
0,3d,0.00102678
0,4d,0.00102617
0,5d,0.00102597
0,6d,0.00102597
0,7d,0.00102592
0,8d,0.00102617
0,9d,0.00102622
0,10d,0.00102628
0,11d,0.00102611
0,12d,0.00102603
0,13d,0.00102625
0,14d,0.00102606
0,15d,0.00102625
0,16d,0.00102694
0,17d,0.00102594
0,18d,0.00102617
0,19d,0.00102606
0,20d,0.00102608
0,21d,0.00102603
0,22d,0.00102611
0,23d,0.00102606
0,24d,0.001026
0,25d,0.00102664
0,26d,0.00102647
0,27d,0.00102642
0,28d,0.00102625
0,29d,0.00102631
0,30d,0.00102608
0,31d,0.00102644
0,32d,0.00102481
0,33d,0.00102339
0,34d,0.00102236
0,35d,0.00102294
0,36d,0.00102361
0,37d,0.00102325
0,38d,0.00102308
0,39d,0.00102319
0,40d,0.00102331
0,41d,0.00102339
0,42d,0.00102486
0,43d,0.00102453
0,44d,0.00102453
0,45d,0.00102464
0,46d,0.00102419
0,47d,0.00102439
0,48d,0.00102433
0,49d,0.00102272
0,50d,0.00102294
0,51d,0.00102322
0,52d,0.00102275
0,53d,0.00102306
0,54d,0.00102361
0,55d,0.00102306
0,56d,0.00102392
0,57d,0.00102364
0,58d,0.00102322
0,59d,0.00102361
0,60d,0.00102267
0,61d,0.00101894
0,62d,0.00101861
0,63d,0.00101711
0,64d,0.00102014
0,65d,0.00101958
0,66d,0.00101919
0,67d,0.00101906
0,68d,0.00101922
0,69d,0.00101914
0,70d,0.00101769
0,71d,0.00101986
0,72d,0.00102031
0,73d,0.00101908
0,74d,0.00101928
0,75d,0.00102142
0,76d,0.00102017
0,77d,0.00102069
0,78d,0.00102103
0,79d,0.00102294
0,80d,0.00102339
0,81d,0.00101989
0,82d,0.00102011
0,83d,0.00102008
0,84d,0.00102339
0,85d,0.00102175
0,86d,0.00101956
0,87d,0.00101919
0,88d,0.00101972
0,89d,0.00102019
0,90d,0.00102028
0,91d,0.00101942
0,92d,0.00102108
0,93d,0.00102158
0,94d,0.00102142
0,95d,0.00102169
0,96d,0.00102117
0,97d,0.00102025
0,98d,0.00102094
0,99d,0.00102244
0,100d,0.00102319
0,101d,0.00102247
0,102d,0.00102197
0,103d,0.00102172
0,104d,0.00102133
0,105d,0.00102108
0,106d,0.00102197
0,107d,0.00102514
0,108d,0.00102244
0,109d,0.00102258
0,110d,0.00102242
0,111d,0.00102211
0,112d,0.00102172
0,113d,0.00102253
0,114d,0.00102311
0,115d,0.00102144
0,116d,0.00102222
0,117d,0.00102222
0,118d,0.00102108
0,119d,0.00102106
0,120d,0.00102186
0,121d,0.00102278
0,122d,0.00102353
0,123d,0.00102217
0,124d,0.00102131
0,125d,0.00102092
0,126d,0.00102103
0,127d,0.00102078
0,128d,0.00102114
