Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Belgium,Belgium,BE,62.9,94.01,87.35,48.75,entsoe.eu,false,
2024-01-01 01:00:00,Belgium,Belgium,BE,65.17,96.43,87.61,50.6,entsoe.eu,false,
2024-01-01 02:00:00,Belgium,Belgium,BE,66.04,97.57,87.44,50.38,entsoe.eu,false,
2024-01-01 03:00:00,Belgium,Belgium,BE,64.08,95.23,87.48,49.52,entsoe.eu,false,
2024-01-01 04:00:00,Belgium,Belgium,BE,64.06,95.28,87.4,49.33,entsoe.eu,false,
2024-01-01 05:00:00,Belgium,Belgium,BE,69.01,101.26,86.65,49.85,entsoe.eu,false,
2024-01-01 06:00:00,Belgium,Belgium,BE,71.57,104.19,86.23,49.76,entsoe.eu,false,
2024-01-01 07:00:00,Belgium,Belgium,BE,72.87,106.1,85.91,49.06,entsoe.eu,false,
2024-01-01 08:00:00,Belgium,Belgium,BE,68.45,100.85,86.48,48.01,entsoe.eu,false,
2024-01-01 09:00:00,Belgium,Belgium,BE,65.68,98.19,87.07,49.55,entsoe.eu,false,
2024-01-01 10:00:00,Belgium,Belgium,BE,64.54,97.84,87.26,51.56,entsoe.eu,false,
2024-01-01 11:00:00,Belgium,Belgium,BE,66.48,100.07,87.11,52.29,entsoe.eu,false,
2024-01-01 12:00:00,Belgium,Belgium,BE,68.89,102.61,86.71,51.28,entsoe.eu,false,
2024-01-01 13:00:00,Belgium,Belgium,BE,69.26,102.24,86.7,48.7,entsoe.eu,false,
2024-01-01 14:00:00,Belgium,Belgium,BE,62.26,92.5,87.25,39.87,entsoe.eu,false,
2024-01-01 15:00:00,Belgium,Belgium,BE,62.85,90.89,87.62,35.83,entsoe.eu,false,
2024-01-01 16:00:00,Belgium,Belgium,BE,74.2,99.72,86.89,38.11,entsoe.eu,false,
2024-01-01 17:00:00,Belgium,Belgium,BE,59.2,81.76,89.78,41.93,entsoe.eu,false,
2024-01-01 18:00:00,Belgium,Belgium,BE,61.72,84.21,89.52,41.87,entsoe.eu,false,
2024-01-01 19:00:00,Belgium,Belgium,BE,73.3,99.1,86.7,39.73,entsoe.eu,false,
2024-01-01 20:00:00,Belgium,Belgium,BE,59.2,82.91,89.41,44.01,entsoe.eu,false,
2024-01-01 21:00:00,Belgium,Belgium,BE,49.11,75.69,89.72,42.39,entsoe.eu,false,
2024-01-01 22:00:00,Belgium,Belgium,BE,50.45,77.57,89.43,43.37,entsoe.eu,false,
2024-01-01 23:00:00,Belgium,Belgium,BE,51.47,79.25,89.17,45.27,entsoe.eu,false,
2024-01-02 00:00:00,Belgium,Belgium,BE,49.5,76.27,89.62,42.98,entsoe.eu,false,
2024-01-02 01:00:00,Belgium,Belgium,BE,53.65,81.92,88.77,43.73,entsoe.eu,false,
2024-01-02 02:00:00,Belgium,Belgium,BE,53.03,80.98,89.0,44.17,entsoe.eu,false,
