ExportIndex,Index,Emission (gCO2)
0,1h,0
0,2h,0
0,3h,0
0,4h,0
0,5h,0
0,6h,0
0,7h,0
0,8h,0
0,9h,0
0,10h,0
0,11h,0
0,12h,0
0,13h,0
0,14h,0
0,15h,0
0,16h,0
0,17h,0
0,18h,0
0,19h,0
0,20h,0
0,21h,0
0,22h,0
0,23h,0
0,24h,0
1,1h,0
1,2h,0
1,3h,0
1,4h,0
1,5h,0
1,6h,0
1,7h,0
1,8h,0
1,9h,0
1,10h,0
1,11h,0
1,12h,0
1,13h,0
1,14h,0
1,15h,0
1,16h,0
1,17h,0
1,18h,0
1,19h,0
1,20h,0
1,21h,0
1,22h,0
1,23h,0
1,24h,0
2,1h,0
2,2h,0
2,3h,0
2,4h,0
2,5h,0
2,6h,0
2,7h,0
2,8h,0
2,9h,0
2,10h,0
2,11h,0
2,12h,0
2,13h,0
2,14h,0
2,15h,0
2,16h,0
2,17h,0
2,18h,0
2,19h,0
2,20h,0
2,21h,0
2,22h,0
2,23h,0
2,24h,0
3,1h,0
3,2h,0
3,3h,0
3,4h,0
3,5h,0
3,6h,0
3,7h,0
3,8h,0
3,9h,0
3,10h,0
3,11h,0
3,12h,0
3,13h,0
3,14h,0
3,15h,0
3,16h,0
3,17h,0
3,18h,0
3,19h,0
3,20h,0
3,21h,0
3,22h,0
3,23h,0
3,24h,0
4,1h,0
4,2h,0
4,3h,0
4,4h,0
4,5h,0
4,6h,0
4,7h,0
4,8h,0
4,9h,0
4,10h,0
4,11h,0
4,12h,0
4,13h,0
4,14h,0
4,15h,0
4,16h,0
4,17h,0
4,18h,0
4,19h,0
4,20h,0
4,21h,0
4,22h,0
4,23h,0
4,24h,0
5,1h,0
5,2h,0
5,3h,0
5,4h,0
5,5h,0
5,6h,0
5,7h,0
5,8h,0
5,9h,0
5,10h,0
5,11h,0
5,12h,0
5,13h,0
5,14h,0
5,15h,0
5,16h,0
5,17h,0
5,18h,0
5,19h,0
5,20h,0
5,21h,0
5,22h,0
5,23h,0
5,24h,0
6,1h,0
6,2h,0
6,3h,0
6,4h,0
6,5h,0
6,6h,0
6,7h,0
6,8h,0
6,9h,0
6,10h,0
6,11h,0
6,12h,0
6,13h,0
6,14h,0
6,15h,0
6,16h,0
6,17h,0
6,18h,0
6,19h,0
6,20h,0
6,21h,0
6,22h,0
6,23h,0
6,24h,0
7,1h,0
7,2h,0
7,3h,0
7,4h,0
7,5h,0
7,6h,0
7,7h,0
7,8h,0
7,9h,0
7,10h,0
7,11h,0
7,12h,0
7,13h,0
7,14h,0
7,15h,0
7,16h,0
7,17h,0
7,18h,0
7,19h,0
7,20h,0
7,21h,0
7,22h,0
7,23h,0
7,24h,0
8,1h,0
8,2h,0
8,3h,0
8,4h,0
8,5h,0
8,6h,0
8,7h,0
8,8h,0
8,9h,0
8,10h,0
8,11h,0
8,12h,0
8,13h,0
8,14h,0
8,15h,0
8,16h,0
8,17h,0
8,18h,0
8,19h,0
8,20h,0
8,21h,0
8,22h,0
8,23h,0
8,24h,0
9,1h,0
9,2h,0
9,3h,0
9,4h,0
9,5h,0
9,6h,0
9,7h,0
9,8h,0
9,9h,0
9,10h,0
9,11h,0
9,12h,0
9,13h,0
9,14h,0
9,15h,0
9,16h,0
9,17h,0
9,18h,0
9,19h,0
9,20h,0
9,21h,0
9,22h,0
9,23h,0
9,24h,0
10,1h,0
10,2h,0
10,3h,0
10,4h,0
10,5h,0
10,6h,0
10,7h,0
10,8h,0
10,9h,0
10,10h,0
10,11h,0
10,12h,0
10,13h,0
10,14h,0
10,15h,0
10,16h,0
10,17h,0
10,18h,0
10,19h,0
10,20h,0
10,21h,0
10,22h,0
10,23h,0
10,24h,0
11,1h,0
11,2h,0
11,3h,0
11,4h,0
11,5h,0
11,6h,0
11,7h,0
11,8h,0
11,9h,0
11,10h,0
11,11h,0
11,12h,0
11,13h,0
11,14h,0
11,15h,0
11,16h,0
11,17h,0
11,18h,0
11,19h,0
11,20h,0
11,21h,0
11,22h,0
11,23h,0
11,24h,0
12,1h,0
12,2h,0
12,3h,0
12,4h,0
12,5h,0
12,6h,0
12,7h,0
12,8h,0
12,9h,0
12,10h,0
12,11h,0
12,12h,0
12,13h,0
12,14h,0
12,15h,0
12,16h,0
12,17h,0
12,18h,0
12,19h,0
12,20h,0
12,21h,0
12,22h,0
12,23h,0
12,24h,0
13,1h,0
13,2h,0
13,3h,0
13,4h,0
13,5h,0
13,6h,0
13,7h,0
13,8h,0
13,9h,0
13,10h,0
13,11h,0
13,12h,0
13,13h,0
13,14h,0
13,15h,0
13,16h,0
13,17h,0
13,18h,0
13,19h,0
13,20h,0
13,21h,0
13,22h,0
13,23h,0
13,24h,0
14,1h,0
14,2h,0
14,3h,0
14,4h,0
14,5h,0
14,6h,0
14,7h,0
14,8h,0
14,9h,0
14,10h,0
14,11h,0
14,12h,0
14,13h,0
14,14h,0
14,15h,0
14,16h,0
14,17h,0
14,18h,0
14,19h,0
14,20h,0
14,21h,0
14,22h,0
14,23h,0
14,24h,0
15,1h,0
15,2h,0
15,3h,0
15,4h,0
15,5h,0
15,6h,0
15,7h,0
15,8h,0
15,9h,0
15,10h,0
15,11h,0
15,12h,0
15,13h,0
15,14h,0
15,15h,0
15,16h,0
15,17h,0
15,18h,0
15,19h,0
15,20h,0
15,21h,0
15,22h,0
15,23h,0
15,24h,0
16,1h,0
16,2h,0
16,3h,0
16,4h,0
16,5h,0
16,6h,0
16,7h,0
16,8h,0
16,9h,0
16,10h,0
16,11h,0
16,12h,0
16,13h,0
16,14h,0
16,15h,0
16,16h,0
16,17h,0
16,18h,0
16,19h,0
16,20h,0
16,21h,0
16,22h,0
16,23h,0
16,24h,0
17,1h,0
17,2h,0
17,3h,0
17,4h,0
17,5h,0
17,6h,0
17,7h,0
17,8h,0
17,9h,0
17,10h,0
17,11h,0
17,12h,0
17,13h,0
17,14h,0
17,15h,0
17,16h,0
17,17h,0
17,18h,0
17,19h,0
17,20h,0
17,21h,0
17,22h,0
17,23h,0
17,24h,0
18,1h,0
18,2h,0
18,3h,0
18,4h,0
18,5h,0
18,6h,0
18,7h,0
18,8h,0
18,9h,0
18,10h,0
18,11h,0
18,12h,0
18,13h,0
18,14h,0
18,15h,0
18,16h,0
18,17h,0
18,18h,0
18,19h,0
18,20h,0
18,21h,0
18,22h,0
18,23h,0
18,24h,0
19,1h,0
19,2h,0
19,3h,0
19,4h,0
19,5h,0
19,6h,0
19,7h,0
19,8h,0
19,9h,0
19,10h,0
19,11h,0
19,12h,0
19,13h,0
19,14h,0
19,15h,0
19,16h,0
19,17h,0
19,18h,0
19,19h,0
19,20h,0
19,21h,0
19,22h,0
19,23h,0
19,24h,0
20,1h,0
20,2h,0
20,3h,0
20,4h,0
20,5h,0
20,6h,0
20,7h,0
20,8h,0
20,9h,0
20,10h,0
20,11h,0
20,12h,0
20,13h,0
20,14h,0
20,15h,0
20,16h,0
20,17h,0
20,18h,0
20,19h,0
20,20h,0
20,21h,0
20,22h,0
20,23h,0
20,24h,0
21,1h,0
21,2h,0
21,3h,0
21,4h,0
21,5h,0
21,6h,0
21,7h,0
21,8h,0
21,9h,0
21,10h,0
21,11h,0
21,12h,0
21,13h,0
21,14h,0
21,15h,0
21,16h,0
21,17h,0
21,18h,0
21,19h,0
21,20h,0
21,21h,0
21,22h,0
21,23h,0
21,24h,0
22,1h,0
22,2h,0
22,3h,0
