ExportIndex,Index,Emission (gCO2)
0,1d,1774.22
0,2d,1773.6
0,3d,1774.27
0,4d,1773.22
0,5d,1772.88
0,6d,1772.88
0,7d,1772.78
0,8d,1773.22
0,9d,1773.31
0,10d,1773.41
0,11d,1773.12
0,12d,1772.98
0,13d,1773.36
0,14d,1773.02
0,15d,1773.36
0,16d,1774.56
0,17d,1772.83
0,18d,1773.22
0,19d,1773.02
0,20d,1773.07
0,21d,1772.98
0,22d,1773.12
0,23d,1773.02
0,24d,1772.93
0,25d,1774.03
0,26d,1773.74
0,27d,1773.65
0,28d,1773.36
0,29d,1773.46
0,30d,1773.07
0,31d,1773.7
0,32d,1770.86
0,33d,1768.42
0,34d,111.233
0,35d,0
0,36d,0
0,37d,0
0,38d,0
0,39d,0
0,40d,0
0,41d,0
0,42d,0
0,43d,0
0,44d,0
0,45d,0
0,46d,0
0,47d,0
0,48d,0
0,49d,0
0,50d,0
0,51d,0
0,52d,0
0,53d,0
0,54d,0
0,55d,0
0,56d,0
0,57d,0
0,58d,0
0,59d,0
0,60d,0
0,61d,0
0,62d,0
0,63d,0
0,64d,0
0,65d,0
0,66d,0
0,67d,0
0,68d,0
0,69d,0
0,70d,0
0,71d,0
0,72d,0
0,73d,0
0,74d,0
0,75d,0
0,76d,0
0,77d,0
0,78d,0
0,79d,0
0,80d,0
0,81d,0
0,82d,0
0,83d,0
0,84d,0
0,85d,0
0,86d,0
0,87d,0
0,88d,0
0,89d,0
0,90d,0
0,91d,0
0,92d,0
0,93d,0
0,94d,0
0,95d,0
0,96d,0
0,97d,0
0,98d,0
0,99d,0
0,100d,0
0,101d,0
0,102d,0
0,103d,0
0,104d,0
0,105d,0
0,106d,0
0,107d,0
0,108d,0
0,109d,0
0,110d,0
0,111d,0
0,112d,0
0,113d,0
0,114d,0
0,115d,0
0,116d,0
0,117d,0
0,118d,0
0,119d,0
0,120d,0
0,121d,0
0,122d,0
0,123d,0
0,124d,0
0,125d,0
0,126d,0
0,127d,0
0,128d,0
0,129d,0
0,130d,0
0,131d,0
0,132d,0
0,133d,0
0,134d,0
0,135d,0
0,136d,0
0,137d,0
0,138d,0
0,139d,0
0,140d,0
0,141d,0
0,142d,0
0,143d,0
0,144d,0
0,145d,0
0,146d,0
0,147d,0
0,148d,0
0,149d,0
0,150d,0
0,151d,0
0,152d,0
0,153d,0
0,154d,0
0,155d,0
0,156d,0
0,157d,0
0,158d,0
0,159d,0
0,160d,0
0,161d,0
0,162d,0
0,163d,0
0,164d,0
0,165d,0
0,166d,0
0,167d,0
0,168d,0
0,169d,0
0,170d,0
0,171d,0
0,172d,0
0,173d,0
0,174d,0
0,175d,0
0,176d,0
0,177d,0
0,178d,0
0,179d,0
0,180d,0
0,181d,0
0,182d,0
0,183d,0
0,184d,0
0,185d,0
0,186d,0
0,187d,0
0,188d,0
0,189d,0
0,190d,0
0,191d,0
0,192d,0
0,193d,0
0,194d,0
0,195d,0
0,196d,0
0,197d,0
0,198d,0
0,199d,0
0,200d,0
0,201d,0
0,202d,0
0,203d,0
0,204d,0
0,205d,0
0,206d,0
0,207d,0
0,208d,0
0,209d,0
0,210d,0
0,211d,0
0,212d,0
0,213d,0
0,214d,0
0,215d,0
0,216d,0
0,217d,0
0,218d,0
0,219d,0
0,220d,0
0,221d,0
0,222d,0
0,223d,0
0,224d,0
0,225d,0
0,226d,0
0,227d,0
0,228d,0
0,229d,0
0,230d,0
0,231d,0
0,232d,0
0,233d,0
0,234d,0
0,235d,0
0,236d,0
0,237d,0
0,238d,0
0,239d,0
0,240d,0
0,241d,0
0,242d,0
0,243d,0
0,244d,0
0,245d,0
0,246d,0
0,247d,0
0,248d,0
0,249d,0
0,250d,0
0,251d,0
0,252d,0
0,253d,0
0,254d,0
0,255d,0
0,256d,0
0,257d,0
0,258d,0
0,259d,0
0,260d,0
0,261d,0
0,262d,0
0,263d,0
0,264d,0
0,265d,0
0,266d,0
0,267d,0
0,268d,0
0,269d,0
0,270d,0
0,271d,0
0,272d,0
0,273d,0
0,274d,0
0,275d,0
0,276d,0
0,277d,0
0,278d,0
0,279d,0
0,280d,0
0,281d,0
0,282d,0
0,283d,0
0,284d,0
0,285d,0
0,286d,0
0,287d,0
0,288d,0
0,289d,0
0,290d,0
0,291d,0
0,292d,0
0,293d,0
0,294d,0
0,295d,0
0,296d,0
0,297d,0
0,298d,0
0,299d,0
0,300d,0
0,301d,0
0,302d,0
0,303d,0
0,304d,0
0,305d,0
0,306d,0
0,307d,0
0,308d,0
0,309d,0
0,310d,0
0,311d,0
0,312d,0
0,313d,0
0,314d,0
0,315d,0
0,316d,0
0,317d,0
0,318d,0
0,319d,0
0,320d,0
0,321d,0
0,322d,0
0,323d,0
0,324d,0
0,325d,0
0,326d,0
0,327d,0
0,328d,0
0,329d,0
0,330d,0
0,331d,0
0,332d,0
0,333d,0
0,334d,0
0,335d,0
0,336d,0
0,337d,0
0,338d,0
0,339d,0
0,340d,0
0,341d,0
0,342d,0
0,343d,0
0,344d,0
0,345d,0
0,346d,0
0,347d,0
0,348d,0
0,349d,0
0,350d,0
0,351d,0
0,352d,0
0,353d,0
0,354d,0
0,355d,0
0,356d,0
0,357d,0
0,358d,0
0,359d,0
0,360d,0
0,361d,0
0,362d,0
0,363d,0
0,364d,0
0,365d,0
0,366d,0
